movie_title,genre,release_date,director,box_office_revenue,rating,duration_minutes,production_company,quote
Hans (Kukkulan kuningas) ,Romance,3/6/1940,Malachi Redfern,$52750672.82,2.9,134,Realbridge,Programmable intangible approach
"Lifeguard, The",Action,3/17/1993,Chantal Wike,$20932818.98,8.4,206,Quatz,Open-source global middleware
Arnulf Rainer,Action,5/28/1926,Consalve Meneo,$51154249.16,8.6,152,Vitz,Persistent heuristic installation
Christmas Eve,Romance,6/30/1928,Kimberlyn Crossgrove,$40323815.86,2.2,135,Gabtype,Switchable grid-enabled matrix
Seinto Seiya: Legend of Sanctuary (Seinto Seiya: Legend of Sanctuary),Drama,3/11/1996,Monah Gouinlock,$26693498.43,5.8,135,Yambee,Synchronised optimizing middleware
Bad Karma,Action,10/30/1994,Pete Voce,$83574015.23,9.2,140,Blogspan,Optional empowering methodology
China O'Brien,Drama,6/22/1992,Kerrin Saphir,$7640347.79,4.2,126,Ainyx,Assimilated human-resource local area network
From Dusk Till Dawn 3: The Hangman's Daughter,Action,3/13/1918,Ulrika Batson,$97471282.83,0.1,113,Jatri,Distributed asynchronous array
Camille Claudel,Action,2/17/1975,Dianne Suffe,$2561594.32,8.9,174,Livetube,Advanced local contingency
Halo Legends,Comedy,9/7/2006,Mitchell Chadburn,$32511233.74,9.7,67,Gigashots,Ameliorated regional capability
"Borrower, The",Romance,2/26/1952,Shelby Crawshaw,$90636149.86,1.5,64,Yoveo,Proactive responsive interface
On the Edge,Action,12/31/1922,Creigh Burton,$80837967.23,7.8,134,Mudo,Triple-buffered zero tolerance focus group
"Four Horsemen of the Apocalypse, The",Drama,6/19/1963,Jonie Brevitt,$73484309.70,4.2,180,Shufflester,Decentralized grid-enabled analyzer
Winds of the Wasteland,Romance,10/5/1996,Cletus Badcock,$54015761.08,7.4,63,Yotz,Sharable optimal encoding
"Man Called Sledge, A",Comedy,10/13/1930,Jorgan Harpin,$70654156.93,5.5,76,Bluejam,Synergistic eco-centric knowledge base
Robin Hood,Action,10/15/1968,Mignon Kerswill,$75134887.24,9.7,146,Rhynoodle,Public-key analyzing neural-net
Grabbers,Romance,11/1/2006,Germain Metzig,$24015977.26,4.7,129,Voomm,Visionary zero administration moratorium
"Swimmer, The",Horror,8/9/1977,Elysha Hissett,$15409899.05,6.8,103,Trupe,Reverse-engineered dedicated Graphic Interface
Autopsy (Macchie Solari),Drama,10/31/1903,Roy Crielly,$21563576.56,8.4,239,Tekfly,Programmable next generation function
Kitchen Stories (Salmer fra kjøkkenet),Drama,7/2/1928,Goddart Claricoates,$62008247.22,4.3,74,Meevee,Grass-roots bifurcated migration
"Tree Grows in Brooklyn, A",Action,12/15/1957,Amelie Isaak,$15969782.73,3.3,106,Talane,Automated asynchronous orchestration
Very Happy Alexander (Alexandre le bienheureux),Romance,3/13/1970,Rabi Seine,$83637882.85,7.3,94,Wikido,Programmable discrete utilisation
Illustrious Corpses (Cadaveri eccellenti),Action,11/23/1944,Matthias Kreuzer,$40202737.94,5.4,108,Fivebridge,Synergistic mobile access
"Lady and the Duke, The (Anglaise et le duc, L')",Romance,11/18/1995,Rustin Pranger,$55036885.68,8.9,151,Skimia,Digitized bi-directional instruction set
61*,Drama,12/11/1940,Willi Baignard,$95738681.87,2.9,152,Realpoint,Reactive global groupware
Blazing Saddles,Romance,6/22/1928,Dill Kerner,$89051620.70,6.9,232,Gigaclub,Decentralized clear-thinking alliance
"Longest Yard, The",Horror,5/10/2022,Gianina Jirieck,$31174437.24,9.9,121,Zoomdog,Reverse-engineered background budgetary management
Flodder in Amerika!,Horror,1/5/1986,Dilly Kahane,$73459687.04,8.0,139,Skinder,Polarised fault-tolerant pricing structure
Labor Pains,Drama,2/15/1908,Borg Verchambre,$1765085.10,4.0,177,Skiptube,Multi-tiered intermediate task-force
"Clown, The",Drama,3/3/2011,Valdemar Acory,$35470215.46,4.8,91,Quatz,Up-sized intangible info-mediaries
Time of Eve (Eve no jikan),Horror,3/9/1948,Ulises Isenor,$34650409.79,1.2,98,Lazzy,Horizontal 6th generation solution
Transamerica,Action,9/5/1948,Kelci Arminger,$44383355.51,8.3,62,Latz,Expanded eco-centric projection
New Year's Eve,Romance,4/4/1925,Livy Dudeney,$27929389.88,7.3,137,Livetube,Quality-focused heuristic concept
Pandora's Promise,Horror,4/25/1927,Reggi Dmytryk,$84258728.33,2.6,239,Feedfire,Persistent stable benchmark
Boom Town,Horror,11/26/1924,Pam Gowling,$30197028.16,1.5,164,Fiveclub,Front-line fault-tolerant core
Felicity,Drama,6/23/1985,Raine Garth,$37130096.45,0.0,115,Avamba,Networked web-enabled extranet
"Band Wagon, The",Drama,8/8/1945,Demeter Ilymanov,$5414692.20,9.2,92,Camido,Devolved regional monitoring
The Mountain of the Cannibal God,Drama,3/22/1986,Averyl Charlet,$96806774.51,8.3,189,Photofeed,Virtual coherent productivity
The War,Action,3/7/1971,Dorrie Dunstone,$36871705.01,5.7,65,Avamba,Switchable incremental system engine
Shooting Fish,Drama,5/11/1911,Doralyn Bront,$90918060.39,7.4,145,Shufflebeat,Self-enabling client-server portal
"Day of the Beast, The (Día de la Bestia, El)",Drama,6/1/1941,Catharine Searjeant,$15245063.10,7.9,117,Janyx,Intuitive cohesive interface
Mystery Science Theater 3000: The Movie,Romance,8/23/2006,Beauregard Benzie,$60073958.80,8.4,134,Buzzster,Synergized neutral migration
Bad Company,Comedy,7/29/1974,Malissia Shyres,$21818491.54,6.0,226,Twitterbeat,Object-based system-worthy concept
Yolki 2,Drama,6/27/1980,Cass Cookley,$55870233.39,8.3,142,Cogibox,Devolved bottom-line data-warehouse
"Man with a Cloak, The",Comedy,12/26/1926,Ina Cloney,$95322183.28,5.1,181,Minyx,Virtual heuristic moderator
Twin Town,Action,3/19/1992,Cornie Amys,$65588544.59,6.4,85,Omba,Diverse local model
Fantomas Unleashed,Comedy,5/20/1928,Abigale Prendergrass,$8521721.05,7.0,87,DabZ,Visionary explicit synergy
Brother Orchid,Action,4/25/1995,Iver Edmands,$56389441.30,4.1,100,Vipe,Reverse-engineered coherent benchmark
"Misérables, Les",Comedy,7/14/2014,Joseito Such,$9297942.29,1.3,128,Mudo,Team-oriented clear-thinking time-frame
Last Night,Romance,10/20/1973,Stepha Burkman,$81624723.92,2.6,126,Ntag,User-centric regional pricing structure
Shaft in Africa,Horror,5/3/2021,Johnnie Bowker,$90471362.48,9.0,198,Meetz,Reduced multimedia paradigm
B.N.B. (Bunty Aur Babli),Horror,10/14/1921,Teriann Shawcross,$64521920.36,2.9,166,Flipopia,Function-based zero tolerance collaboration
Quebrando o Tabu,Drama,6/6/1978,Dorine Alster,$77630105.51,1.6,190,Agimba,Multi-layered clear-thinking alliance
Bad Girls Go To Hell,Drama,12/24/1949,Timothee Woodall,$77234279.48,9.0,62,Zooveo,Digitized reciprocal application
"Tillman Story, The",Horror,12/28/1933,Lizzie Wholesworth,$47347325.02,9.1,232,Dabjam,Open-architected human-resource internet solution
Prince of the City,Comedy,10/6/1931,Benito Yggo,$46852243.44,8.6,199,Livepath,Up-sized needs-based ability
Next Door (Naboer),Comedy,1/8/1945,Nicholle Ingledew,$53560599.02,6.1,112,Wordtune,Automated contextually-based knowledge base
California Dreamin' (Nesfarsit),Romance,7/6/1902,Woodrow Enticott,$66839204.81,7.6,145,Vipe,Optional exuding matrices
Fighter,Romance,10/14/1993,Ludovico Heinonen,$85352347.23,8.1,183,Yombu,Right-sized methodical initiative
On Dangerous Ground,Romance,4/11/1933,Jenilee Guilloux,$63519069.32,4.5,105,Kazio,Self-enabling clear-thinking toolset
Reno 911!: Miami,Romance,9/21/1925,Devonna Dymoke,$66334170.20,1.4,102,Aimbu,Horizontal heuristic standardization
Galaxy Quest,Action,11/10/1945,Donall Schuricke,$56822389.59,4.8,133,Rhycero,Switchable intangible strategy
XIII: The Conspiracy,Comedy,5/24/1942,Margery Brech,$60646690.81,5.2,199,Npath,Advanced needs-based leverage
Cheerleader Camp,Action,3/24/2003,Frederich Ezzell,$30008311.22,0.2,107,Katz,Optimized intermediate interface
OSS 117 - Lost in Rio (OSS 117: Rio ne répond plus),Horror,2/9/1962,Karola Elcock,$78602412.96,7.0,156,Flipopia,Multi-layered reciprocal functionalities
Grabbers,Drama,7/31/1988,Sybille MacNamee,$44471058.10,1.1,133,Agimba,Quality-focused explicit structure
Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi),Romance,1/20/1974,Suzi Lethley,$25676505.14,6.8,130,Skiptube,Profound leading edge portal
"Good Shepherd, The",Romance,7/4/1947,Julissa Playle,$58877041.80,2.8,67,Zoovu,Reverse-engineered eco-centric moderator
When Jews Were Funny,Action,9/6/1986,Bernardo Lippett,$59291561.59,4.6,111,Demivee,Extended responsive customer loyalty
Accident on Hill Road,Comedy,9/24/1957,Willetta Crunkhorn,$27949156.92,2.0,131,Skiba,Function-based actuating frame
"In-Laws, The",Romance,5/26/2015,Vittoria Raoul,$37319722.87,0.8,81,Edgetag,Inverse user-facing instruction set
Forget Me Not,Action,1/20/2014,Robena Wickersley,$36082718.23,0.6,103,Vitz,Triple-buffered bifurcated encryption
French Film,Comedy,8/5/1909,Lowe Luckman,$14675567.51,0.4,167,Ailane,Universal heuristic process improvement
Frank,Romance,3/12/1995,Hubie Greiswood,$96035741.62,9.2,189,Aibox,Compatible content-based service-desk
Enigma,Romance,6/11/1959,Elmira Petruskevich,$75355039.02,2.5,233,Jabberbean,Face to face empowering interface
"East Side, West Side",Romance,7/20/1914,Florian Ledster,$10503491.99,1.0,240,Tazzy,Fundamental uniform policy
"Paperboy, The",Romance,8/5/1969,Adriane Sabattier,$89883950.41,2.3,85,Eamia,Programmable homogeneous array
"Trial of the Incredible Hulk, The",Comedy,7/14/1980,Atalanta Forri,$56507681.06,1.2,145,Tagpad,Virtual multi-state implementation
Black Sunday (La maschera del demonio),Horror,6/18/1914,Ford Froud,$37127416.04,0.7,128,Browsezoom,Optimized optimal policy
Alphabet City,Horror,6/13/2002,Basia Goford,$94114061.00,9.8,112,Topicshots,Balanced maximized process improvement
Blue Crush,Comedy,1/4/1945,Delainey Layton,$24041366.52,7.7,103,Realbridge,Synergistic intangible contingency
Raise the Red Lantern (Da hong deng long gao gao gua),Horror,6/28/2002,Kirbee Orpyne,$50808556.15,0.3,197,Vidoo,Seamless well-modulated functionalities
Pee-wee's Big Adventure,Romance,1/6/2018,Billi Cundict,$29530733.05,5.5,65,Brainverse,Streamlined empowering project
"Prisoner of Zenda, The",Action,3/24/1916,Micheal Smitten,$60307171.83,2.6,232,Fivebridge,Synergized optimizing interface
"Railway Man, The",Horror,6/3/2021,Guillema Maryska,$32828174.23,6.2,228,Jetwire,Visionary 24 hour support
Her Alibi,Action,3/18/1962,Dorothy Gable,$396311.13,3.4,235,Geba,Re-engineered asynchronous application
Uncovered,Horror,5/18/1968,Gwenore Corbert,$74285073.48,9.9,163,Divape,Seamless responsive complexity
"Neon Bible, The",Drama,9/11/1954,Renelle Bagnall,$93618281.38,1.9,80,Divanoodle,Robust well-modulated matrices
The Lazarus Effect,Romance,7/28/1914,Jodie Klaggeman,$7808931.82,2.7,111,Thoughtmix,Versatile multi-state access
Hipsters (Stilyagi),Romance,10/6/2006,Maddi Jerdon,$98965777.67,2.9,227,Voonder,Robust client-server groupware
"If It's Tuesday, This Must Be Belgium",Comedy,12/4/2001,Cindie Butting,$3109010.09,8.0,79,Dynabox,Team-oriented systemic portal
Sabata,Horror,1/2/2014,Adelle McGarvie,$83213736.03,4.7,156,Kayveo,Intuitive optimizing capacity
Fort McCoy,Action,10/16/2018,Juan Bragginton,$13575803.30,3.7,148,Jaloo,Profound client-driven paradigm
"Final, The",Drama,6/2/2005,Jolene Haestier,$2911510.68,8.0,134,Skinte,Proactive web-enabled benchmark
"13 Frightened Girls! (Candy Web, The)",Drama,7/19/2012,Ange Tomkin,$59242696.28,5.3,135,Realfire,Front-line user-facing ability
Safe Men,Horror,8/9/2015,Farra Teek,$4968352.26,2.8,134,DabZ,Re-engineered dynamic intranet
Novo,Action,4/7/2006,Hogan Rizzello,$92036995.07,0.1,159,Yombu,Seamless intangible secured line
Kimberly,Drama,8/17/1953,Clemente Fynes,$14662316.03,1.2,156,Yodo,Enterprise-wide client-server policy
Cold Comfort Farm,Action,7/1/1915,Bili Zoellner,$90940694.36,7.9,96,Demizz,Universal 4th generation interface
Splendor in the Grass,Horror,9/21/2022,Wallie Garaway,$16075746.62,6.8,191,Realbridge,Intuitive transitional project
"Hey, Hey, It's Esther Blueburger",Comedy,5/14/1963,Ariana Nisius,$75729536.43,9.2,187,Kayveo,Multi-channelled incremental frame
Let's Kill Ward's Wife,Action,8/27/1958,Dewitt Ondrus,$31154720.51,8.4,161,Talane,Total bandwidth-monitored local area network
"6th Day, The",Drama,10/24/1969,Maurie Tuckerman,$54134965.20,3.5,236,Livetube,User-friendly systematic initiative
Born on the Fourth of July,Romance,10/22/1968,Alberto Wilcocke,$98021029.46,6.7,105,Devpoint,Monitored zero tolerance service-desk
Standing Up,Comedy,3/6/1915,Sally Kinningley,$3856514.24,1.7,207,Kimia,Exclusive content-based superstructure
La Bande du drugstore,Horror,4/10/1950,Ado Shobbrook,$13736550.19,0.3,205,Skiba,Integrated value-added strategy
Manual of Love 2 (Manuale d'amore (capitoli successivi)),Romance,5/28/1927,Basilio Phelp,$87847412.87,9.3,128,Browsebug,Distributed local hardware
"Big Picture, The",Drama,4/16/1900,Nahum Josephsen,$57608831.12,6.5,138,Flipstorm,Open-source secondary website
"Breed, The",Comedy,9/7/1942,Randie McPike,$71237296.24,9.0,127,Fanoodle,Future-proofed bottom-line workforce
Shadows in an Empty Room,Romance,4/2/1907,Leese Giotto,$88447205.32,7.3,66,Twitterworks,Up-sized 5th generation workforce
Torment,Horror,1/5/1973,Elly Obispo,$17836488.60,7.8,124,Vinder,Diverse optimizing moderator
Diana Vreeland: The Eye Has to Travel,Romance,12/21/1946,Mischa Coye,$69358615.18,6.6,105,Voomm,Optional impactful frame
Arsène Lupin,Action,8/31/1910,Mariquilla Growy,$87067298.91,9.5,100,Zoomzone,Down-sized logistical solution
Arachnophobia,Horror,9/30/2018,Joice Manass,$28448662.87,3.7,142,Skilith,Expanded methodical help-desk
"Beast of War, The (Beast, The)",Horror,7/7/1971,Gideon Koba,$13809410.59,4.7,63,Tekfly,Inverse radical encryption
Ossos,Drama,3/23/1949,Marven Picton,$88584491.02,3.2,108,Zooxo,Fully-configurable radical definition
Lost Souls,Comedy,3/25/1965,Montgomery Jurewicz,$20032822.78,4.3,148,Eazzy,Progressive next generation functionalities
"Company You Keep, The",Comedy,1/24/1942,Marj Pattemore,$99310710.77,8.9,231,Jabberstorm,Multi-layered foreground extranet
Double Dynamite,Drama,7/1/2006,Husein Winsom,$10273968.74,6.5,235,Skimia,Operative content-based internet solution
My Führer,Romance,11/6/1949,Ellery Bayfield,$53572467.68,5.4,180,Lazz,Vision-oriented systemic benchmark
"Asthenic Syndrome, The (Astenicheskiy sindrom)",Romance,10/20/1910,Rey Epelett,$42547584.00,3.9,99,Divanoodle,Sharable upward-trending interface
"Chicago 8, The",Action,10/31/2017,Ben Arber,$13534856.40,2.0,231,Topicshots,Mandatory stable infrastructure
Tales of Vesperia: The First Strike (Teiruzu obu vesuperia: The first strike),Drama,3/21/1917,Mahmoud Dorcey,$10514255.93,5.3,183,Flashpoint,Front-line high-level instruction set
Paradox,Romance,10/23/1901,Tim Smither,$28512702.76,5.7,224,Dabjam,Enhanced tertiary complexity
First Cousin Once Removed,Comedy,11/30/1968,Neal Danilchev,$59781076.09,5.5,131,Aivee,Cloned neutral encoding
Eyes Wide Open (Einayim Petukhoth),Drama,8/17/1905,Norbie Laughnan,$64482753.19,2.2,64,Dabjam,Cloned high-level alliance
I Bury the Living,Drama,7/9/2004,Evangelin Memory,$80459229.33,4.3,218,Jaxnation,User-centric didactic solution
June 9 ,Horror,1/12/1923,Harris Bails,$42009405.52,7.7,141,Twimbo,Fully-configurable methodical data-warehouse
Ticker,Action,9/25/1923,Willy Blaker,$12602408.63,6.6,212,Livefish,Synergized transitional product
"Town Called Hell, A",Horror,10/4/1966,Veronika Brunetti,$30681561.30,3.8,203,Voonte,Visionary eco-centric protocol
Aragami,Romance,7/28/2005,Angie Gornar,$82069250.38,4.9,160,Dynabox,Fundamental homogeneous throughput
Dacii,Action,2/14/1975,Garek Macvain,$79636513.51,4.0,79,Livetube,Stand-alone object-oriented collaboration
Little Men,Horror,9/11/1943,Isabelita Mitchenson,$10969051.84,5.2,205,Wordware,User-friendly regional projection
Marooned in Iraq (Gomgashtei dar Aragh),Comedy,2/13/2019,Fanechka Schettini,$60018209.44,8.3,88,Camido,Configurable impactful protocol
Born Free,Action,3/22/1976,Sara-ann Murcott,$7036640.66,5.2,78,Feedbug,Networked zero administration local area network
Don't Say a Word,Comedy,3/10/1989,Bebe Kewzick,$80967145.77,2.1,77,Kwimbee,Organic eco-centric neural-net
Caged,Horror,1/22/1936,Iggie Mays,$70401974.89,2.2,227,Brainbox,Cross-platform disintermediate portal
Dead or Alive: Hanzaisha,Romance,2/27/1921,Savina Hellicar,$78644196.80,4.5,196,Jaxnation,Visionary exuding methodology
"Star Is Born, A",Horror,1/24/1996,Guinna Mathy,$84598057.62,4.0,226,Shuffledrive,Synergized regional policy
Number One with a Bullet,Horror,3/22/1911,Ervin Kirstein,$31453087.50,2.3,139,Twitterwire,Public-key intermediate concept
Garfield's Halloween Adventure,Comedy,1/16/2020,Darsie Hallihane,$93153456.18,4.1,108,Photofeed,Devolved stable info-mediaries
Goodbye Charlie,Action,1/6/1949,Eleni Ruffles,$14855260.95,9.8,229,Bubblemix,Future-proofed bandwidth-monitored matrices
Teenage Mutant Ninja Turtles III,Romance,7/1/1969,Morlee Ladloe,$92379134.01,5.6,236,Meezzy,Diverse local hub
Gidget,Horror,1/14/1992,Bernarr Matissoff,$79073081.35,2.9,188,Npath,Optional solution-oriented projection
Pudana Last of the Line (Sukunsa viimeinen),Action,10/6/2006,Judah Gilhouley,$73167760.20,1.1,212,Flashspan,Sharable hybrid focus group
Elvira Madigan,Drama,4/25/1984,Marcela Congreve,$48191653.18,3.8,72,Skivee,Innovative zero tolerance access
"Siffleurs, Les (Viheltäjät)",Action,8/26/1951,Grant Archley,$89070006.19,7.4,135,Gigashots,Virtual dedicated strategy
Bye Bye Brazil (Bye Bye Brasil),Drama,8/11/1900,Miner Champneys,$75236362.69,7.0,154,Flashspan,Integrated clear-thinking database
Vinyan,Horror,7/30/1998,Marlo Burrows,$42215286.62,0.9,76,Jetwire,Inverse systemic website
G.O.R.A.,Horror,7/31/2005,Gracia Kersey,$54776716.75,6.9,62,Devpoint,Triple-buffered foreground knowledge user
Animal Love (Tierische Liebe),Drama,7/22/2017,Nan Antonutti,$41661999.32,1.4,190,Twiyo,Visionary 5th generation software
Come Undone (Cosa voglio di più),Horror,7/24/1976,Broderic Battams,$73754632.54,3.1,163,Browseblab,Enhanced scalable focus group
Beverly Hills Cop III,Horror,4/2/1969,Lee Frederick,$62254872.42,6.8,208,Vipe,Focused background moderator
Decoder,Action,3/11/2005,Sylvan Swancock,$24132213.62,7.8,175,Shufflester,Phased stable info-mediaries
Exiles (Exils),Horror,6/18/2012,Melloney Rove,$89031041.42,3.8,135,Babbleset,Programmable high-level access
Escape from Planet Earth,Romance,12/11/1944,Shadow Forsdyke,$35840459.57,4.6,175,Jetwire,Pre-emptive bifurcated benchmark
"Good Son, The",Horror,5/2/1980,Warden Hartgill,$49532206.70,6.5,175,Browseblab,Fundamental client-driven application
"Christine Jorgensen Story, The",Comedy,3/7/1986,Jacquelyn Schneidau,$53490149.02,6.5,117,Edgewire,Pre-emptive systemic flexibility
Career,Drama,12/3/2015,Cosmo Sturges,$67136311.32,4.3,237,Rhybox,Distributed modular parallelism
"Southerner, The",Action,3/31/1944,Brig Spoure,$26902070.61,9.8,101,Rhyzio,Devolved transitional concept
Freaky Friday,Romance,1/18/1916,Corrina Wildman,$55841905.67,7.2,234,Eare,Networked tertiary concept
Exhibition,Comedy,7/2/2005,Silas Dymidowicz,$46749107.71,1.9,174,Devcast,Multi-lateral bandwidth-monitored capacity
Severe Clear,Horror,6/2/1965,Barris McCartney,$17968185.09,1.2,68,Divanoodle,Configurable non-volatile moderator
"Carry On, Constable",Comedy,10/29/1931,Stan Ipsley,$67158215.59,2.7,214,BlogXS,Reverse-engineered next generation implementation
"Ice Pirates, The",Romance,11/12/1939,Ronni Bake,$22167684.60,5.1,221,Brainbox,Function-based disintermediate process improvement
"Reivers, The",Drama,6/8/1967,Klarika Aberchirder,$57940423.32,2.9,93,Rooxo,Synergized cohesive parallelism
Deadline (Sprängaren),Comedy,4/16/1932,Damara Richarz,$26947511.40,1.0,125,JumpXS,Robust zero tolerance encoding
Pie in the Sky,Horror,8/7/1921,Kiley Stitt,$11932425.93,3.4,98,Nlounge,Polarised contextually-based Graphic Interface
"Keeping the Promise (Sign of the Beaver, The)",Horror,7/23/1965,Loree Sweetsur,$79852763.45,5.5,92,Browsedrive,Open-source uniform challenge
Frontier of the Dawn (La frontière de l'aube),Comedy,11/1/1972,Luci Klimushev,$46986845.31,5.6,224,Camido,Optional 6th generation product
Pitkä kuuma kesä,Horror,2/19/1953,Kass Apfler,$16588375.10,5.5,152,Jayo,Streamlined attitude-oriented website
Colossal Youth (Juventude Em Marcha),Comedy,1/29/1928,Janna Petrelli,$58131901.18,5.1,205,Skinix,User-friendly 3rd generation access
"Crazies, The",Drama,1/28/1989,Bliss Capelow,$15221193.33,0.3,123,Dabjam,Function-based didactic capability
Scrooged,Horror,5/6/1926,Coral Capineer,$79989264.44,3.3,197,Aibox,Assimilated holistic architecture
Every Other Weekend (Un week-end sur deux),Comedy,9/5/1916,Griffith Coutts,$52603219.23,7.0,128,Gabvine,Proactive bi-directional migration
Bit by Bit,Comedy,9/28/1918,Liza Hellewell,$67427153.83,3.2,133,Oozz,Inverse global solution
Scenes from a Mall,Drama,1/10/1938,Gretna Lorain,$68036179.60,2.6,171,Browsebug,Synchronised leading edge website
Better Living Through Circuitry,Action,5/3/1926,Gino Mergue,$808530.72,5.5,83,Thoughtbeat,User-centric optimal instruction set
Suicide Room,Romance,7/28/1906,Fax Pobjay,$6664389.98,9.7,212,Ntags,Progressive attitude-oriented hardware
Looper,Drama,8/10/1990,Finn Mallen,$66558470.33,6.5,77,Jaxspan,Automated fault-tolerant forecast
"Greatest, The",Comedy,6/20/2004,Germayne Danshin,$64351956.47,4.4,127,Eabox,Assimilated web-enabled circuit
Miehen tie,Romance,5/30/1941,Minette Durran,$90994033.55,2.9,90,Browsezoom,Streamlined client-server hardware
Big Hero 6,Action,4/20/2016,Gustaf Collick,$19946912.55,1.1,238,Oodoo,Polarised cohesive time-frame
Bob le Flambeur,Romance,7/1/2000,Aubrey Firks,$8697407.59,7.2,108,Snaptags,Optional global customer loyalty
Special Bulletin,Horror,1/14/1984,Hugh Darmody,$27754176.80,7.3,230,Centizu,Automated multi-state collaboration
Living Out Loud,Comedy,6/29/1988,Analise Bearman,$31316527.81,9.5,86,Tazz,Adaptive scalable adapter
After the Rehearsal (Efter repetitionen),Drama,8/24/1941,Barry Mardlin,$17522105.70,3.5,110,Shuffletag,Public-key exuding initiative
Free Men (Les hommes libres),Romance,10/17/1902,Garrard Poleye,$44719362.18,3.0,196,Aibox,Switchable dynamic info-mediaries
"Navigator, The",Horror,9/17/1908,Anni Bearsmore,$63722906.11,4.0,187,Realcube,Diverse eco-centric utilisation
Bundle of Joy,Drama,2/26/1991,Christian Winters,$49231308.64,6.9,143,Youbridge,Multi-layered uniform hardware
Return to the Blue Lagoon,Action,11/26/1998,Cyndia Bourgour,$46888373.13,4.6,212,Rhybox,Advanced bandwidth-monitored matrices
Emil i Lönneberga,Comedy,7/6/1991,Julie Greggor,$21148417.55,3.2,109,Devcast,Right-sized encompassing interface
Arachnophobia,Drama,4/7/1982,Clarisse Darko,$98129115.79,2.1,85,Edgeify,Automated methodical system engine
"Prince and the Showgirl, The",Drama,9/23/1969,Stanislaus Moniker,$73990032.95,1.5,236,Roomm,Profound bandwidth-monitored alliance
Knocked Up,Action,4/29/1996,Inglebert Masden,$85730679.04,9.6,153,Tagcat,Triple-buffered solution-oriented instruction set
Kumail Nanjiani: Beta Male ,Drama,1/16/1994,Tobiah Loomis,$78981522.39,5.2,137,Photobug,Object-based foreground alliance
The Thirteen Assassins,Action,3/18/1999,Nikki Hugueville,$36817431.27,0.2,117,Trilith,Polarised hybrid definition
That Old Feeling,Horror,4/25/1974,Nelia Pactat,$77198959.89,0.7,102,Katz,Function-based composite complexity
